img.tag,ind.leaf,LA(cm2),intact.LA(cm2),damage(%)
test.png,0,32.436,34.464,0.059
test.png,1,0.893,0.906,0.014
test.png,2,2.897,2.916,0.007
test.png,3,1.094,1.185,0.077
test.png,4,5.481,5.516,0.006
test.png,5,3.953,4.045,0.023
test.png,6,1.622,1.637,0.009
test.png,7,1.617,1.637,0.012
test.png,8,1.001,1.007,0.006
test.png,9,1.253,1.258,0.004
test2.png,0,49.939,51.031,0.021
test2.png,1,29.117,29.905,0.026
test2.png,2,4.807,4.9,0.019
test2.png,3,54.868,56.847,0.035
test2.png,4,65.45,67.725,0.034
test2.png,5,29.396,29.946,0.018
test2.png,6,5.632,4.447,-0.266
test2.png,7,32.908,35.263,0.067
test2.png,8,13.282,13.522,0.018
